SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
,OKS 1149(PTFE)(COMPLEJO DE LITIO)(GRADO 2-3)(ISO 200)(ACEITE DE SILICONA),OKS,,Grasa,
,OKS 1155(ESTEARATO DE LITIO)(GRADO 2)(ISO 100)(ESTER-POLIFENILMETILSILOXANO),OKS,,Grasa,
,"OKS 4100(MOLY)(LITIO-CALCIO)(GRADO 2)(ISO 1,020)",OKS,,Grasa,
,OKS 4210(PTFE)(PFPE)(ISO 390)(PTFE),OKS,,Grasa,
,OKS 4220(PTFE)(PFPE)(ISO 390)(PTFE),OKS,H1,Grasa,
,OKS 4240(PTFE)(INORGANICO)(GRADO 2)(ISO 440)(PFPE),OKS,,Grasa,
,OKS 100(MOLY),OKS,,Seco,
,OKS 110(MOLY MICROFINO),OKS,,Seco,
,OKS 536(GRAF)(AGUA)(AGLUTINANTE ORGANICO),OKS,,Seco,
"SYNLOX GEAR FG OIL (H1) (MINERAL) (ISO 150,220, 320 Y 460)","ACEITE PARA ENGRANAJES GRADO ALIMENTICIO (H1) (MINERAL) (ISO 150,220)",TEXAS REFINERY,,Aceite,
SYNLOX HYDRA FG OIL (H1) (MINERAL) (ISO 46 Y 68),ACEITE UNIVERSAL H1 GRADO ALIMENTICIO (H1) (MINERAL) (ISO 46 Y 68),TEXAS REFINERY,,Aceite,
SYNLOX AERO FG (H1) (MINERAL) (ISO 32),ACEITE UNIVERSAL H1 GRADO ALIMENTICIO EN AEROSOL (H1) (MINERAL) (ISO 32),TEXAS REFINERY,,Aceite,
"SYNLOX SPLASH & PARATAC (MINERAL) (SAE 10,20,30 Y 40)","ACEITE NO SPLASH CON PARACTAC LV (SAE 10, 20 Y 30)",TEXAS REFINERY,,Aceite,
SYNLOX SYNPLEX CHAIN (SINTÉTICO) (ISO 220),ACEITE SINTÉTICO PARA CADENAS DE ALTA TEMPERATURA (SINTETICO) (ISO 220),TEXAS REFINERY,,Aceite,
"SYNLOX SYNPLEX MOLY CHAIN (MOLY) (MINERAL) (SAE10,20,30 Y 40)","ACEITE PARA CADENAS MOLY CHAIN (MINERAL) (MOLY) (SAE 10,20,30 Y 40)",TEXAS REFINERY,,Aceite,
SYNLOX SYNPLEX MOLY CHAIN (AEROSOL) (MOLY) (MINERAL) (ISO 46),ACEITE PARA CADENAS MOLY CHAIN (AEROSOL) (MOLY) (MINERLA) (SAE30),TEXAS REFINERY,,Aceite,
"SYNLOX GEAR OIL (FÓSFORO) (MINERAL) (SAE 75,80W90,85W140)",ACEITE 790 SURE UNIVERSAL (FOSFORO)(MINERAL) (SAE 80W90 Y 85W140),TEXAS REFINERY,,Aceite,
"SYNLOS SYNGEAR OIL (SINTÉTICO) (ISO 150,220,320,460,680 Y 1000)",ACEITE SINTÉTICO PARA ENGRANAJES SYNTEX 2700 (SINTETICO) (75W90 Y 80W90),TEXAS REFINERY,,Aceite,
"SYNLOS UNIVERSAL GEAR (AZUFRE) (MINERAL) (ISO 150, 220, 320 Y 460)","ACEITE 890 VARI PURPOSE (AZUFRE) (MINERAL) (SAE 75, 80W90 Y 85W140)",TEXAS REFINERY,,Aceite,
"SYNLOX HYDRA EP (MINERAL) (SAE 10,20,30 Y 40)","ACEITE HIDRÁULICO TRC (MINERAL) (SAE 10,20,30 Y 40)",TEXAS REFINERY,,Aceite,
"SYNLOX HYDRA SPIN(MINERAL)(ISO 10, 15 Y 22)",,TEXAS REFINERY,,Aceite,
"SYNLOX PRESSURE R&O (MINERAL) (SAE 10,20,30 Y 40)","ACEITE PARA COMPRESORES TRC (MINERAL) (SAE 10,20,30Y40)",TEXAS REFINERY,,Aceite,
"SYNLOX SYNPRESSURE (SINTÉTICO) (SAE 10,20 Y 30)","ACEITE SINTETICO PARA COMPRESORES TRC (MINERAL) (SAE 10,20 Y 30)",TEXAS REFINERY,,Aceite,
"SYNLOX HEAT TRANSFER (MINERAL) (ISO 22,46 Y 68)",HEAT TRANSFER OIL (ISO 68 Y ISO 100),TEXAS REFINERY,,Aceite,
"SYNLOX SYN HEAT TRANSFER (SINTÉTICO) (ISO 22,46 Y 68)",-,TEXAS REFINERY,,Aceite,
"SYNLOX RANCING MOTOR OIL (MINERAL) (SAE 10W30,15W40 Y 20W50)",ACEITE MULTIGRADO PARA MOTOR PRO SPEC III (MINERAL/SINTETICO) (SAE 10W30 Y 15W40),TEXAS REFINERY,,Aceite,
SYNLOX ONE MOTOR OSIL SL/SF (MINERAL) (SAE 40 Y 50),-,TEXAS REFINERY,,Aceite,
"SYNLOX SYN MOTOR OIL SL/SF (SINTÉTICO) (5W30,15W40 Y 20W50)",-,TEXAS REFINERY,,Aceite,
SYNLOX CUT (MINERAL),TRI X 100 (MINERAL),TEXAS REFINERY,,Aceite,
SYNLOX SOLSYN (SINTÉTICO SOLUBLE),-,TEXAS REFINERY,,Aceite,
SYNLOX SOLAL DIRECTO (MINERAL),-,TEXAS REFINERY,,Aceite,
SYNLOX CRYSTAL USP (MINERAL) (ISO 22 Y 68),ACEITE WHITE CRYSTAL (ISO 68),TEXAS REFINERY,,Aceite,
SYNLOX AERODRY FILM (MOLY),ACEITE MOLY DRY FILM (MOLY),TEXAS REFINERY,,Aceite,
"SYNLOX HYDRA PROTEC NF (SINTÉTICO GLICOL-AGUA) (ISO 32,46 Y 68)",-,TEXAS REFINERY,,Aceite,
"SYNLOX HYDRA POLIOLESTER NF (SINTÉTICO POLIOLESTER) (ISO 15,32,46,68)",-,TEXAS REFINERY,,Aceite,
"SYNLO EXPOSED GEAR SERIE M (SINTÉTICO ISO 7M, 16M,22M Y 46M)",-,TEXAS REFINERY,,Aceite,
"SYNLOX SYNPAG SERIES (SINTÉTICO PAG ISO 150,220, 320 Y 460)",-,TEXAS REFINERY,,Aceite,
